,artista,oyentes,reproducciones,bio_resumen,pais
116,The Killers,6715948,366858292,"There are multiple artists using this name:

1. The Killers is an American rock band from Las Vegas, Nevada, formed in 2001. 
They got the name from the fictional band The Killers in the video for New Order's song Crystal. 
As of 2021, the band has released six studio albums, which have sold 28 million records worldwide. 

The Early Years
Initially, The Killers played at large clubs in Las Vegas. With the band's line-up stable and their repertoire of songs expanding <a href=""https://www.last.fm/music/The+Killers"">Read more on Last.fm</a>",United States
117,Tommy february6,319308,11580388,"In 2001, 川瀬智子 (Tomoko Kawase) (born February 6, 1975, in Kyoto, Japan) launched her solo career under the name of Tommy february6, a character named from a combination of her nickname and birthdate. Vastly different from the japanese rock / japanese pop sound of the brilliant green for which she is also lead singer, Tommy february6's persona and sound are that of a generic Stock Aitken Waterman style 1980s pop icon. Her eponymous debut album was released on the day of her 27th birthday. <a href=""https://www.last.fm/music/Tommy+february6"">Read more on Last.fm</a>",Japan
118,Los Rodriguez,152218,2751698,biografia no encontrada,
119,Celso Piña,88396,813688,"Celso Piña (Monterrey, Nuevo León, México, 6 April 1953 - August 21, 2019) was a Mexican singer, composer, arranger, and accordionist, mainly in the genre of Cumbia, being one of the most important musicians in the style of ""Cumbia rebajada"".  

Piña was a pioneer in the mixture and fusion of tropical sounds with many of his works having elements of cumbia, regional mexicano, cumbia sonidera, ska, reggae, rap/hip-hop, R&B, etc. Piña is also known as El Rebelde del acordeón or the Cacique de la Campana. <a href=""https://www.last.fm/music/+noredirect/Celso+Pi%C3%B1a"">Read more on Last.fm</a>",Mexico
120,Chris de Burgh,814819,8264346,"Christopher John Davison (born 15 October 1948), known professionally as Chris de Burgh, is a British-Irish singer, instrumentalist, and songwriter. He started out as an art rock performer but subsequently started writing more pop-oriented material. He has had several top 40 hits in the UK and two in the US, but he is more popular in other countries, particularly Norway and Brazil. His 1986 love song ""The Lady in Red"" reached number one in several countries. De Burgh has sold over 45 million albums worldwide. <a href=""https://www.last.fm/music/Chris+de+Burgh"">Read more on Last.fm</a>",
121,The Strokes,5516586,452178236,"The Strokes is an American indie rock band, known for their distinctive sound and cultural impact, particularly in the early 2000s.

Members
Julian Casablancas (vocals), Nick Valensi (guitar), Albert Hammond Jr. (guitar), Nikolai Fraiture (bass), and Fabrizio Moretti (drums)

Formation
The founding process of The Strokes was a serendipitous convergence of childhood connections and a shared musical vision. Julian Casablancas, Fabrizio Moretti, and Nick Valensi, childhood friends with varying musical experiences, came together in the late '90s. <a href=""https://www.last.fm/music/The+Strokes"">Read more on Last.fm</a>",United States
122,Alvin Lee,74346,823253,"Alvin Lee (19 December 1944 - 6 March 2013) was famous as the guitarist in the seminal seventies rock band Ten Years After.

Born Graham Barnes in Nottingham England, Alvin Lee took up guitar at the age of thirteen. By the age of fifteen he had formed the group Jaybirds. Following in the footsteps of earlier beat groups such as the Beatles, the Jaybirds played the clubs in Hamburg, Germany to great local acclaim. On returning to London in 1966, the group changed its name to Ten Years After. <a href=""https://www.last.fm/music/Alvin+Lee"">Read more on Last.fm</a>",
123,Eagle-Eye Cherry,1074929,8421588,"Eagle-Eye Lanoo Cherry (born 7 May 1968 in Scania, Sweden) is a Swedish singer-songwriter known best for his hit ""Save Tonight"", the lead single from his 1997 debut album, 'Desireless'. Cherry comes from a musical family that includes sister Neneh Cherry, father Don Cherry, and half-sister on his Swedish side Titiyo. Soon after he was born, he moved to New York with his father, where he began acting and playing music.

After Don Cherry's death in 1995, Eagle-Eye moved to Stockholm with his girlfriend, and he began to focus on songwriting. <a href=""https://www.last.fm/music/Eagle-Eye+Cherry"">Read more on Last.fm</a>",
124,La Renga,94391,3129200,"Argentinean hard rock band formed in 1988. They're one of the most important argentinan band ever,  characterized by their independenet style, without appearing in the mainstream media and not appearing in festivales unless it's for a benefic cause. They are followed by a very loyal audience that travels throughout Argentina and even other countries like Chile and Uruguay. 
Originated in Mataderos, a humble quartier of Buenos Aires, they started playing small gigs in the neighbourhood. <a href=""https://www.last.fm/music/La+Renga"">Read more on Last.fm</a>",
125,Radiohead,7927652,1273007059,"Radiohead is an English rock band formed in Abingdon, Oxfordshire, in 1985. The band consists of Thom Yorke (vocals, guitar, piano, keyboards); brothers Jonny Greenwood (guitar, keyboards, other instruments) and Colin Greenwood (bass); Ed O'Brien (guitar, backing vocals); and Philip Selway (drums, percussion). Since 1994, they have frequently collaborated with producer Nigel Godrich and cover artist Stanley Donwood. Radiohead are noted for their experimental approach, which has influenced the development of alternative rock. <a href=""https://www.last.fm/music/Radiohead"">Read more on Last.fm</a>",
126,Phil Collins,3096738,62024933,"Philip David Charles Collins (born 30 January 1951) is an English singer, musician, songwriter, record producer and actor. He was the drummer and lead singer of the rock band Genesis and also has a career as a solo performer. Between 1982 and 1990, Collins scored three UK and seven US number-one singles as a solo artist. When his work with Genesis, his work with other artists, as well as his solo career is totalled, he had more US top 40 singles than any other artist during the 1980s. <a href=""https://www.last.fm/music/Phil+Collins"">Read more on Last.fm</a>",
127,Pedro Suárez-Vértiz,33660,929022,"Pedro Suárez-Vértiz Alva (13 February 1969 – 28 December 2023) was a Peruvian singer-songwriter and guitarist. He founded the rock band Arena Hash in 1987 alongside his brother Patricio Suárez-Vértiz, Arturo Pomar, and Christian Meier. Following the band's disbandment a few years later, he launched a successful solo career.

In 2004, Suárez-Vértiz was recognized with the Orgullosamente Latino (Proudly Latin) award and was named Best Latin Soloist of the Year in Mexico. <a href=""https://www.last.fm/music/+noredirect/Pedro+Su%C3%A1rez-V%C3%A9rtiz"">Read more on Last.fm</a>",Peru
128,Mick Jagger,414206,3508361,"Sir Michael Philip ""Mick"" Jagger (26 July 1943) is an English singer, songwriter and actor, best known as the lead singer and a co-founder of the Rolling Stones.

Jagger's career has spanned over 50 years, and he has been described as ""one of the most popular and influential frontmen in the history of Rock & Roll"". Jagger's distinctive voice and performance, along with Keith Richards' guitar style, have been the trademark of the Rolling Stones throughout the career of the band. <a href=""https://www.last.fm/music/Mick+Jagger"">Read more on Last.fm</a>",
129,Creed,2319938,52885239,"There are multiple artists with this name:
1. An American rock band.
2. An American blues rock band from the 1970s.
3. A German metal band.

Creed is an American rock band from Tallahassee, Florida formed in 1994. Creed was prominent in the post-grunge movement of the late 1990s and early 2000s, releasing three consecutive multi-platinum albums; their second, Human Clay (1999), received diamond (11x platinum) certification by the Recording Industry Association of America (RIAA). <a href=""https://www.last.fm/music/Creed"">Read more on Last.fm</a>",Germany
130,Queen,6984252,406384268,"Queen is a British rock band formed in London in 1970 by Freddie Mercury (lead vocals, piano), Brian May (guitar, vocals), and Roger Taylor (drums, vocals), later joined by John Deacon (bass). Their earliest works were influenced by progressive rock, hard rock, and heavy metal, but the band gradually ventured into more conventional and radio-friendly styles by incorporating elements of arena rock and pop rock.

Before forming Queen, May and Taylor had played together in the band Smile. <a href=""https://www.last.fm/music/Queen"">Read more on Last.fm</a>",United Kingdom
131,Deftones,3987854,506981232,"Deftones is an American metal band from Sacramento, California, formed in 1988, consisting of Chino Moreno (lead vocals and guitar), Stephen Carpenter (guitar), Frank Delgado (keyboards and turntables), and Abe Cunningham (drums and percussion). Vega (formerly of Quicksand) took on bass duties from mid-2009 to ca. 2021 in substitution for Chi Cheng, who was seriously injured in an automobile accident in Santa Clara, California on November 4, 2008. <a href=""https://www.last.fm/music/Deftones"">Read more on Last.fm</a>",United States
132,Los Caballeros De La Quema,31585,410372,"Los Caballeros de la Quema, es una banda de rock alternativo, oriunda de la ciudad de Morón, Provincia de Buenos Aires, Argentina, que se formó a mediados de 1990 y en 1991 publicó su primer trabajo titulado: “Primavera negra”.

Salieron al ruedo comercial con un buen álbum en 1993 (""Manos vacías""), que tras un pequeño tiempo de éxito, desapareció de las radios comerciales. Joaquín Sabina quedó impresionado con este disco y los contactó para abrir su show en el estadio de Ferro. <a href=""https://www.last.fm/music/Los+Caballeros+De+La+Quema"">Read more on Last.fm</a>",
133,3 Doors Down,3461286,87056498,"3 Doors Down is an American rock band from Escatawpa, Mississippi, formed in 1996. Their music has been described as post-grunge, alternative rock, and hard rock.

The band achieved mainstream popularity with their 2000 debut single ""Kryptonite"", which reached number three on the Billboard Hot 100. It was followed by their debut album ""The Better Life"" (2000), which became the 11th-best-selling album of that year, was certified septuple platinum by the Recording Industry Association of America (RIAA) <a href=""https://www.last.fm/music/3+Doors+Down"">Read more on Last.fm</a>",United States
134,Journey,3131692,60060779,"There is more than one artist with this name, including: 
1) Journey is an American rock band formed in San Francisco, California in 1973; 
2)  Journey is UK-based psychedelic trance producer Giampiero ""Jay"" Mastino; 
3) Journey is an underground hip hop artist.

1) Journey is an American rock band formed in San Francisco, California in 1973. The band has gone through several phases since its inception by former members of Santana. The band's greatest <a href=""https://www.last.fm/music/Journey"">Read more on Last.fm</a>",United States
135,10cc,1490160,17323471,"10cc is an English art rock and pop band. Initially comprised of four musicians - Graham Gouldman, Eric Stewart, Kevin Godley and Lol Creme - who had written and recorded together for some three years, before assuming the ""10cc"" name in 1972 - two strong song-writing teams, injected sharp wit to lyrically-dextrous songs. 
Stewart and Gouldman were straight pop-song-writers, who created the band’s most accessible songs; Godley and Creme were the experimental half of 10cc, featuring an Art School sensibility and cinematic writing. <a href=""https://www.last.fm/music/10cc"">Read more on Last.fm</a>",
136,Dover,171649,4330071,"Dover may refer to:
1) a Spanish alternative-pop-rock band which was founded in [year formed]1992[/year formed]. The Band currently consists of the sisters Christina Llanos (guitar/vocals) and Amparo Llanos (guitar), Jesús Antúnez (drums), and Samuel Titos (bass) who recently replaced former bassist Álvaro Díez. Their music ranges from heavy to sweet, shouting to dreaming, but always with a groovy drive.

Dover originated in the outskirts of Madrid <a href=""https://www.last.fm/music/Dover"">Read more on Last.fm</a>",Spain
137,Jaguares,194427,2819925,"Jaguares is a Grammy and Latin Grammy winning Mexican alternative rock band formed by former Caifanes lead singer Saúl Hernández, after that band's break-up in 1995, because of personal differences with the Guitarist Alejandro Marcovich. He started the band along with former Caifanes co-member Alfonso André (drums); and two long time friends Federico Fong (bass guitar) and José Manuel Aguilera (lead guitar).

Soon after the release of their first album <a href=""https://www.last.fm/music/Jaguares"">Read more on Last.fm</a>",Mexico
138,Talk Talk,1135661,22822691,"Talk Talk were an English band formed in 1981, led by Mark Hollis (vocals, guitar, piano), Lee Harris (drums), and Paul Webb (bass). Initially a synth pop group, Talk Talk's first two albums, The Party's Over (1982) and It's My Life (1984), reached top 40 in the UK and produced the international hit singles ""Talk Talk"", ""Today"", ""It's My Life"", and ""Such a Shame"". They achieved widespread critical success in Europe and the UK with the album The Colour of Spring (1986) and its singles ""Life's What You Make It"" and ""Living in Another World"". <a href=""https://www.last.fm/music/Talk+Talk"">Read more on Last.fm</a>",
139,JAY-Z,5409084,223474345,"Shawn Corey Carter (born December 4, 1969 in Brooklyn, New York, United States), is an American rapper and former president and CEO of Roc-A-Fella Records. He is more commonly known by a variety of stage names including Shawn Corey Carter, Jay-Hova, Jiggaman, Young Hov, Shawn C. Carter, Hov, Shawn Carter, The Carter Administration. He is regarded as one of the most prolific and successful American blend artists of the mid-90s and early 2000s and is known for his use of metaphors <a href=""https://www.last.fm/music/JAY-Z"">Read more on Last.fm</a>",United States
140,Robert Palmer,917503,8355945,"Robert Allen Palmer (January 19, 1949 – September 26, 2003), born in Batley, Yorkshire, England, was a British singer. He was known for his soulful voice and the eclectic mix of musical styles on his albums, combining soul, jazz, rock, reggae, blues, and even yodeling. 

His eighties hits were promoted by particularly striking award winning videos, featuring an all-female, black-clad backing band. The memorable videos, directed by Terence Donovan, featured heavily on MTV and played a large part in his transatlantic success. <a href=""https://www.last.fm/music/Robert+Palmer"">Read more on Last.fm</a>",United Kingdom
141,AC/DC,4387891,205043065,"AC/DC is an Australian rock band formed in Sydney in 1973. Their music has been described as hard rock, blues rock, and heavy metal, though the band refers to it simply as ""rock and roll."" They are regarded as a significant influence on the new wave of British heavy metal and were inducted into the Rock and Roll Hall of Fame in 2003. With more than 200 million records sold worldwide, they are among the best-selling music artists in history.

AC/DC were founded by brothers Angus Young (lead guitar) and Malcolm Young (rhythm guitar) <a href=""https://www.last.fm/music/AC%2FDC"">Read more on Last.fm</a>",Australia
142,Staind,2118800,49233400,"Staind is a nu metal band formed on November 24, 1995 in Springfield, Massachusetts, United States. After meeting through friends and covering pop hits of the day in smalltime clubs for a year and a half, Staind self-released their debut album, Tormented, in November 1996, citing influences in brutal latin thrash metal. Until recently, the album was difficult to obtain, as only four thousand copies were originally sold. Since then, the band's official website has released the album to meet the demand from fans. <a href=""https://www.last.fm/music/Staind"">Read more on Last.fm</a>",
143,Metallica,4983811,512861776,"Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career. The band's fast tempos, instrumentals and aggressive musicianship made them one of the founding ""big four"" bands of thrash metal, alongside Megadeth, Anthrax and Slayer. Metallica's current lineup comprises founding members and primary songwriters Hetfield and Ulrich, longtime lead guitarist Kirk Hammett and bassist Robert Trujillo. <a href=""https://www.last.fm/music/Metallica"">Read more on Last.fm</a>",United States
144,The Darkness,1295014,20451045,"There are at least six artists with this name:
1. A popular hard rock band from the United Kingdom
2. A death metal band from Germany
3. An alternative rock band from Poland
4. A Eurodance group
5. A thrash metal band from the Czech Republic

1. The Darkness is a hard rock band which formed in Lowestoft, England in 2000. The band consists of Justin Hawkins (vocals, guitar, keyboards), Dan Hawkins (guitar, vocals), Frankie Poullain (bass) and Ed Graham (drums). <a href=""https://www.last.fm/music/The+Darkness"">Read more on Last.fm</a>",
145,Memphis La Blusera,28234,384131,"""Memphis La Blusera"" es una banda argentina de blues y rock nacida en el barrio porteño de La Paternal el 5 de mayo de 1978. Comenzaron a tocar como banda con temáticas muy sociales y trabajadoras, saliéndose de esa línea con el disco ""Tonto Rompecabezas"", donde se van al grano de lo que es las letras sobre el amor. Para su grabación en vivo de 25º aniversario en Luna Park, se revivió parte de la fama de la banda, que además visitó otros países como Chile. <a href=""https://www.last.fm/music/Memphis+La+Blusera"">Read more on Last.fm</a>",
146,Viejas Locas,95764,3002689,"Viejas Locas es una banda de Buenos Aires, Argentina, formada en 1990. La banda está actualmente constituida por por Pity Álvarez en voz y guitarra, Fabián ""Fachi"" Crea en el bajo, y Abel Meyer y Sergio ""Peluca"" Hernández en la batería y guitarra respectivamente. Siendo calificados por el Sí de Clarín como «una de las bandas más populares del nuevo rock stone argentino», Viejas Locas logró su debut discográfico en 1996 con el hit ""Intoxicado"". <a href=""https://www.last.fm/music/Viejas+Locas"">Read more on Last.fm</a>",
147,Cake,2302905,69128262,"At least 3 bands have the name Cake:

1.) 90s alternative rock band
2.) Underground 70s pop/funk band
3.) 60s Girl pop band

1.) Best-known for their ubiquitous hit ""The Distance,"" Cake epitomized the postmodern, irony-drenched aesthetic of '90s geek rock. Their sound freely mixed and matched pastiches of widely varying genres -- white-boy funk, hip-hop, country, new wave pop, jazz, college rock, and guitar rock -- with a particular delight in the clashes that resulted. <a href=""https://www.last.fm/music/Cake"">Read more on Last.fm</a>",
148,The Arrows and Friends,14703,59871,biografia no encontrada,
149,Los Tipitos,89757,1088613,"Los Tipitos is an Argentinian rock band, founded in 1994 in Mar del Plata (province of Buenos Aires). Although they call themself a group from Mar del Plata, they are not really originated in this place. Raúl comes from the province of Chaco, Walter and Fede come from the capital Buenos Aires.

In 1996 they decided to go to Buenos Aires. In the previous winter León Gieco (one of the most eminent musicians from Argentina) had discovered them and invited them to produce a record under his management. <a href=""https://www.last.fm/music/Los+Tipitos"">Read more on Last.fm</a>",Argentina
150,Neil Young,2614825,106900271,"Neil Percival Young (born November 12, 1945) is a Canadian singer, guitarist, songwriter, and social activist who is widely regarded as one of the most influential musicians of his generation, particularly as Neil Young & Crazy Horse. Young was born in Toronto, but he moved to the family home of Winnipeg as a child, which is where his music career began. Young began performing as a solo artist in Canada in 1960, before moving to California in 1966, where he co-founded the band Buffalo Springfield along with Stephen Stills and Richie Furay. <a href=""https://www.last.fm/music/Neil+Young"">Read more on Last.fm</a>",Canada
151,Seether,2328571,73661329,"Seether is a rock band founded in May 1999 in Pretoria, Gauteng, South Africa. The band originally performed under the name Saron Gas until 2002, when they moved to the United States and changed it to Seether to avoid confusion with the deadly chemical known as sarin gas.

Seether gained mainstream popularity in 2002 with their US Active Rock number one single ""Fine Again"", and their success was sustained in 2004 with the single ""Broken"", which peaked at number 20 on the Billboard Hot 100. <a href=""https://www.last.fm/music/Seether"">Read more on Last.fm</a>",
152,Marilyn Manson,3106265,192617255,"Marilyn Manson is an American rock band formed in Fort Lauderdale, Florida, in 1989 by vocalist Marilyn Manson and guitarist Daisy Berkowitz. Initially performing under the name Marilyn Manson & the Spooky Kids, the group gained a local following in South Florida during the early 1990s through their theatrical and provocative live performances. In 1993, they became the first act signed to Trent Reznor’s Nothing Records label. Until 1996, each band <a href=""https://www.last.fm/music/Marilyn+Manson"">Read more on Last.fm</a>",United States
153,Lenny Kravitz,2854066,51651382,"Leonard Albert ""Lenny"" Kravitz (born May 26, 1964. New York, USA) is an American singer-songwriter, record producer, guitarist and actor whose retro amalgam of rock, pop, funk, and even techno is inspired by such music icons as David Bowie, Jimi Hendrix and John Lennon. Like Prince and Sly Stone before him, Kravitz uses a multi-ethnic, mixed-gender backing band.

Kravitz plays guitar, bass, drums, keyboards, percussion, and sitar. He often plays these instruments on each recorded track <a href=""https://www.last.fm/music/Lenny+Kravitz"">Read more on Last.fm</a>",United States
154,The Greenhornes,362369,3125808,"The Greenhornes are a rock band from Cincinnati, Ohio, United States, formed in 1996, and featuring Craig Fox on lead vocals and guitar, Jack Lawrence on bass, and Patrick Keeler on drums. The band has released several full-length albums and singles. Their most recent release is 2010's ""****"" (""Four Stars""), the first recorded by the band since their pursuit of other musical projects, such as The Raconteurs and The Dead Weather. The band's collaboration with Holly Golightly <a href=""https://www.last.fm/music/The+Greenhornes"">Read more on Last.fm</a>",
155,Evanescence,4263451,205233637,"Evanescence is a rock band founded in Little Rock, Arkansas, United States in 1995 by singer/pianist Amy Lee and guitarist Ben Moody (who left in 2003). 

After recording private albums, the band signed to Wind-up Records and released their first full-length album, Fallen, in 2003, which sold more than 15 million copies worldwide and helped the band win two Grammy Awards. A year later, they released their first live album, Anywhere But Home, which sold more than one million copies worldwide. <a href=""https://www.last.fm/music/Evanescence"">Read more on Last.fm</a>",
156,Nickelback,4223850,145539303,"Nickelback is a Canadian rock band which formed in Hanna, Alberta, Canada in 1995. Nickelback is one of the most commercially successful Canadian groups, having sold 50 million records worldwide. Nickelback ranks as the 7th best selling music act of the 2000s and the 2nd best selling foreign act in the US behind The Beatles for the 2000s.

The band consists of Chad Kroeger (vocals, guitar), Ryan Peake (guitar, vocals), Mike Kroeger (bass) and Daniel Adair (drums). <a href=""https://www.last.fm/music/Nickelback"">Read more on Last.fm</a>",Canada
157,Los Abuelos de la Nada,311406,4478810,"Los Abuelos de la Nada is a band from Buenos Aires, Argentina formed orginally in 1967 by Miguel Abuelo but disbanded in 1969. After a long journey through Europe, Miguel Abuelo returns to Argentina and reforms the band in 1981. The new band had Abuelo as lead singer, Cachorro López on bass, Andrés Calamaro on vocals and keyboards, Gustavo Bazterrica on guitar, Daniel Melingo on sax, and Polo Corbella on the drums.
Charly García took the band under his wing after dissolving Serú Girán <a href=""https://www.last.fm/music/Los+Abuelos+de+la+Nada"">Read more on Last.fm</a>",
158,Incubus,3610429,165965027,"There are multiple artists using this name:
Incubus is an alternative rock band formed in 1991, based in Calabasas, California. Members include Brandon Boyd (vocals and percussion), Mike Einziger (guitar), Ben Kenney (bass), Jose Pasillas II (drums) and DJ Chris Kilmore (turntables). Former members of the band include Gavin Koppel (a.k.a. DJ Lyfe) (turntables) and Alex Katunich (a.k.a. Dirk Lance) (bass). The band's name may seem a peculiar choice to fans <a href=""https://www.last.fm/music/Incubus"">Read more on Last.fm</a>",
159,Crazy Town,1193242,11277363,"Crazy Town, also known as CXT, was an American rap rock band formed in Los Angeles in 1995 by Bret ""Epic"" Mazur and Seth Brooks Binzer, known as Shifty Shellshock. The band gained mainstream success with the 2000 single ""Butterfly"", which reached number one on the US Billboard Hot 100 and significantly boosted sales of their debut album ""The Gift of Game"", released in 1999. The album sold over 1.6 million copies.

Their second studio album, ""Darkhorse"" <a href=""https://www.last.fm/music/Crazy+Town"">Read more on Last.fm</a>",United States
160,Roger Hodgson,100568,972395,"Roger Hodgson (born Charles Roger Pomfret Hodgson on 21 March 1950 in Portsmouth, Hampshire) is an English musician, singer and songwriter, best known as the former co-frontman and co-founder member of progressive rock band Supertramp. His most recent solo album, Open the Door, was released in 2000. His most recent tour was in 2017.

Hodgson is widely regarded as a gifted composer and lyricist.  He is the singer/songwriter of such globally successful <a href=""https://www.last.fm/music/Roger+Hodgson"">Read more on Last.fm</a>",
161,Starsailor,956750,14107525,"Starsailor is an English post-Britpop band, formed in 2000. Since their formation, the band have included guitarist and vocalist James Walsh, drummer Ben Byrne, bassist James Stelfox, and keyboardist Barry Westhead. They are best known for their 2003 single ""Silence Is Easy"", which reached number 9 in the UK, and ""Four to the Floor"", which reached number one in France as well as the top five in Australia.

The band have released five studio albums and scored ten Top 40 hit singles in the UK. <a href=""https://www.last.fm/music/Starsailor"">Read more on Last.fm</a>",
162,Joe Bonamassa,475168,13844136,"Joe Bonamassa (born May 8, 1977) is an American blues rock  guitarist, singer and songwriter.

Bonamassa was born in Utica, New York. He started playing guitar at age four, encouraged by his father, who was an avid music fan and exposed him to British blues rock records by Eric Clapton and Jeff Beck, greatly inspiring him. At 11 years old Joe was mentored and trained by American guitar legend, Danny Gatton. When he was 12 years old, he had his own band called Smokin' Joe Bonamassa <a href=""https://www.last.fm/music/Joe+Bonamassa"">Read more on Last.fm</a>",United States
163,Matchbox Twenty,1912670,39773650,"Matchbox Twenty, originally Matchbox 20 and typeset as matchbox twenty on most official merchandise, is a rock band formed in Orlando, Florida, who have sold in excess of 39 million albums worldwide. The band have been well received in many countries.

The current members of the band are Rob Thomas (vocals, piano), Paul Doucette (drums, now guitar), Kyle Cook (lead guitar, vocals) and Brian Yale (bass). Adam Gaynor (rhythm guitar), who has left the band, performed on their first three albums, as well. <a href=""https://www.last.fm/music/Matchbox+Twenty"">Read more on Last.fm</a>",
164,Maná,805033,18364015,"There is more than one artist with this name:

1) Maná (note the accent) is a Mexican  rock  group that had its origins near the end of the 1970s in Guadalajara, Jalisco, México. Their sound has strong influences from hard rock and more mellow pop sounds with additional influences from calypso and reggae. They started with the name ""Sombrero Verde"", but in the late 80's it was changed to the current name. They have a long trajectory as musicians and the band underwent two lineup changes in the 90's. <a href=""https://www.last.fm/music/+noredirect/Man%C3%A1"">Read more on Last.fm</a>",Mexico
165,Duncan Dhu,250455,2719070,"Duncan Dhu was a Spanish pop-rock group of the 1980s.  The group was founded in San Sebastian, Spain in 1984 by singer Mikel Erentxun (Aristogatos), and Diego Vasallo, and Juan Ramón Viles (Los Dalton). The name Duncan Dhu comes from the book ""Kidnapped: The adventures of David Balfour"" by Robert Louis Stevenson where there is a character named Duncan Dhu, who is a lover of music. 

Their style was based on an acoustic and simple pop-rock with a touch of rockabilly in great contrast with the more radical rock played in the area at the time. <a href=""https://www.last.fm/music/Duncan+Dhu"">Read more on Last.fm</a>",Spain
166,Kula Shaker,496469,8738314,"Kula Shaker is a britpop/psychedelic rock band that formed in London, England in 1995, disbanded in 1999 and then reformed in 2004, widely known for their international top 40 hits ""Hey Dude"" (in 1996) and ""Hush"" (in 1997). The band's original line-up was Crispian Mills (vocals, guitar), Alonza Bevan (bass, vocals), Jay Darlington (organ, vocals) and Paul Winterhart (drums), When they reformed in 2004, Darlington was replaced by Harry Broadbent.  <a href=""https://www.last.fm/music/Kula+Shaker"">Read more on Last.fm</a>",
167,Cock Robin,184666,1443576,"Cock Robin is an american band formed in the early 80s in California. It originally consisted of Peter Kingsbery (vocals, keyboards, bass), Anna LaCazio (vocals, keyboards), Clive Wright (guitars) and Louis Molino III (drums). By 1987, Cock Robin's line-up only included Kingsbery and LaCazio.

Their first album was released in 1985. It was very successful in Europe, particularly in France. The album included the two hits ""When Your Heart Is Weak"" and ""The Promise You Made"".  <a href=""https://www.last.fm/music/Cock+Robin"">Read more on Last.fm</a>",United States
168,Pappo,59266,700451,"Pappo (Buenos Aires, March 10th, 1950 - Luján, Buenos Aires province, February 24th, 2005), born Norberto Napolitano, is definitely one of the most relevant icons on the heavy rock and blues mainstream of over the last 30 years in Argentina's musical showbiz, if not the one and only representative guitarist/songwriter of the genre all across South America.

A native of the middle-class La Paternal neighborhood in Buenos Aires, Pappo started playing the guitar at the age of ten <a href=""https://www.last.fm/music/Pappo"">Read more on Last.fm</a>",
169,Red Hot Chili Peppers,7019881,535497353,"The Red Hot Chili Peppers are an American rock band formed in Los Angeles in 1982, consisting of Anthony Kiedis (vocals), Flea (bass), John Frusciante (guitar), and Chad Smith (drums). Their music blends elements of alternative rock, funk, punk rock, hard rock, hip hop, and psychedelic rock, and they have influenced genres such as funk metal, rap metal, rap rock, and nu metal. With over 120 million records sold worldwide, the Red Hot Chili Peppers are among the best-selling bands in history. <a href=""https://www.last.fm/music/Red+Hot+Chili+Peppers"">Read more on Last.fm</a>",United States
170,Design19,64165,324771,"Desing19 is Finnish band that plays alternative/rock/metal/nu metal. There´s not much to tell about the band, just that they have this one album, Trigger. Design19 has much in common with Deftones. Just listen Deftones´ first album ""Adrenaline"" and second ""Around the fur"" and you´ll have great picture what Design19 is. the end <a href=""https://www.last.fm/music/+noredirect/Design19"">Read more on Last.fm</a>",
171,Illya Kuryaki & The Valderramas,95100,1679344,"Illya Kuryaki and the Valderramas was an Argentinian rap/rock duet formed by Dante Spinetta and Emmanuel Horvilleur.

The group was formed in 1991. In 2001 Dante and Emmanuel split up to pursue their solo careers. <a href=""https://www.last.fm/music/+noredirect/Illya+Kuryaki+&+The+Valderramas"">Read more on Last.fm</a>",Argentina
172,Alaska y Dinarama,158915,1787921,"A rock/pop band from Madrid, Spain led by Alaska, Nacho Canut and Carlos Berlanga, former members of two previous and succesful spanish bands: Kaka De Luxe and Alaska y los Pegamoides. They recorded their first album, ""Canciones profanas"" in 1983, under the name, Dinarama + Alaska. The subsequent year, under pressure from their record label, they changed their name to Alaska y Dinarama, becoming one of Spain's huge record selling acts during the mid eighties. <a href=""https://www.last.fm/music/Alaska+y+Dinarama"">Read more on Last.fm</a>",Spain
173,Mancha De Rolando,37002,443587,biografia no encontrada,
174,Arcade Fire,3047583,221703098,"Arcade Fire is a Canadian indie rock band formed in Montreal, Quebec, Canada in 2001. The band consists of Win Butler (vocals, guitar, piano), Régine Chassagne (vocals, accordion, keyboards, hurdy gurdy, drums), Richard Reed Parry (bass, guitar), Tim Kingsbury (bass), and Jeremy Gara (drums). Montreal percussionist Dane Mills performed on the EP and in early live shows.  Will Butler (keyboards, guitar) left the band in 2022 to focus on his solo career. The touring band includes horn players and violinists. <a href=""https://www.last.fm/music/Arcade+Fire"">Read more on Last.fm</a>",Canada
175,MARIA DE LOS ANGELES,1272,15027,biografia no encontrada,
176,Libido,41710,1129135,"There are multiple artists using this name:

1. Peruvian Band Formed in 1996
2. Norwegian Band. Formed in 1995
3. South African Band
4. Polish band
5. Japanese goth/new wave band from the 1980's
6. Swedish synth artist and procuder

1. A peruvian rock band formed in 1996. Band members are Salim Vera (vocals, guitars), Antonio Jauregui (bass), Manolo Hidalgo (lead guitar) Jeffry Fischman (drums). They released their self-titled album Líbido in 1998. It included hit singles like ""Como un perro"" and ""Sed"". Líbido <a href=""https://www.last.fm/music/Libido"">Read more on Last.fm</a>",Japan
