artista,oyentes,reproducciones,bio_resumen
Mikey Dread,112801,848485,"Michael Campbell (1954-2008), better known as Mikey Dread, was a multi-talented Jamaican singer, producer, and broadcaster. During his long career, he brought dub music to the cultural fore in not only Jamaica but internationally, courageously fused dub with punk via work with The Clash, spread a global message of racial unity, and played a seminal role as a forefather of the now popular and very commercial dancehall and even reggaeton styles with popular dub cuts like Roots and Culture.  <a href=""https://www.last.fm/music/Mikey+Dread"">Read more on Last.fm</a>"
Sergent Garcia,168276,1174774,"Sergent Garcia is the group formed around the French singer Bruno Garcia, a former guitarist of punk band Ludwig Von 88.

Sergent Garcia mixes reggae, salsa, raggamuffin, rock and other trends in a new style he defines as the salsamuffin.

In 2011, he released his sixth studio album, Una y otra vez (Cumbancha / The Gwagwita), recorded in France, Spain, Cuba and Colombia.

Together with Colectivo Iye Ife, Sergent Garcia started a world tour that began in Paris in March 2011 and made appearances in through Europe <a href=""https://www.last.fm/music/Sergent+Garcia"">Read more on Last.fm</a>"
Johnny Nash,488423,2673061,"John Lester Nash Jr. (born 19 August 1940; died 6 October 2020) was an American pop singer best known for his 1972 hit I Can See Clearly Now.

Born in Houston, Texas, Nash began as a pop singer in the 1950s. He became famous for singing the theme song for The Mighty Hercules cartoon in the early 1960s (which song he also wrote). His biggest hits were the early reggae tunes Hold Me Tight, I Can See Clearly Now, and Stir It Up, written by Bob Marley prior to Marley's international success. <a href=""https://www.last.fm/music/Johnny+Nash"">Read more on Last.fm</a>"
The Soul Syndicate,13419,56233,biografia no encontrada
Capleton,379377,3398540,"King Shango, King David, The Fireman and The Prophet.

A wise man once said that a prophet is not without honour save in his own country and so it has been with Capleton. While the veteran DJ's words and works long ago earned him the title of ""The Prophet"", the respect and honor that should rightfully be his have been a long time coming. ""Anytime you try to uplift righteousness and upliftment of the people them, then you ah go get a fight"", says the hottest entertainer in the worldwide reggae fraternity. <a href=""https://www.last.fm/music/Capleton"">Read more on Last.fm</a>"
Notch,76721,493495,"There are 3 artists named Notch. 

1) NOTCH is a Reggae/Dancehall/ Reggaeton artist who released the album The Feeling, featuring the single ""I Wanna Kool You"". http://www.rockfort.com/

2) Notch were an electronic band from Gothenburg (formed in 1994/95), Sweden with Johannes Hedberg, Daniel Ringström, Mikael Lindqvist of bands such as Carbon Based Lifeforms, DigiDroids and Thermostatic.

3.Notch (UK) is an alternative/synthpop/experimental artist <a href=""https://www.last.fm/music/Notch"">Read more on Last.fm</a>"
La Pulquería,13376,244828,"Valencia, Spain
(2000 - present)

See http://www.lapulqueria.info/default.html
http://www.myspace.com/pulqueria

La Pulquería is a rock/ska/punk band from Valencia, Spain.
Band members:  Huracán Romántica (vocal), Jordi and Pancho (guitar), Miguel Ángel (bass) and Andrés (drums). Released their first album ""Corridos de Amor"" in 2004. And second album ""C'mon fandango"" 2007. Also live cd and dvd in 2008 “Hey, ho, Chingón!”. <a href=""https://www.last.fm/music/+noredirect/La+Pulquer%C3%ADa"">Read more on Last.fm</a>"
La Tremenda Korte,11841,177663,"La Tremenda Korte, homologo del popular programa de la radio Cubana con su clasico personaje Tres Patines, es uno de los grupos mas solidos y duraderos que salieron del movimiento Ska chilango de los años 90. Con el tiempo han madurado como musicos...a tal grado que la exclusiva disquera ""Opcion"" les produjo este album y tambien han participado en importantes festivales culturales come el Afrocaribeno Veracruz 2001. Aun pretenden mantener la enigma de ser banda del underground. <a href=""https://www.last.fm/music/La+Tremenda+Korte"">Read more on Last.fm</a>"
Skalariak,84958,1463806,"Skalariak is a band from the Basque Country founded in 1994 by Juantxo Skalari and Peio Skalari. As indicated in the name, Skalariak plays Ska. In most of their songs they play solid Ska, sometimes with influences from Reggae, Punk or Latin music. Skalariak also spreads a political message against globalization and capitalism in their songs. Their lyrics are in Spanish and Basque. <a href=""https://www.last.fm/music/Skalariak"">Read more on Last.fm</a>"
Lyricson,38563,365251,"Lyricson  (real name Soulemane Boukara) is a singer of Reggae New roots and Dancehall of Guinean origin  residing in France.

Lyricson was born in Guinea, his mother was nurse in Liberia during the civil war. He would have been incarcerated for adulterates of narcotic throughout one 6 month.

He took part, in 2001, with the round "" Touch espoir"" with the group of rap French Assassin, like with the world tour of Manu Chao within the group baptized for the occasion "" Radio Bemba Sound System "" under the name of Bidji. <a href=""https://www.last.fm/music/Lyricson"">Read more on Last.fm</a>"
Jahsta,12038,112186,"a reggae band of Zaragoza <a href=""https://www.last.fm/music/Jahsta"">Read more on Last.fm</a>"
The Expendables,352154,4566108,"An award-winning, California-grown, surf culture band that's established itself as a vital part of the Santa Cruz, CA music scene.

Expendables' distinctive live performances and unique brand of music. Described as an electric mix of genre-bending rock, reggae and surf. It has begun to charm audiences far and wide. Rapidly approaching status as a full-time touring act, the band is a rising star on the West Coast. To date, The Expendables have performed <a href=""https://www.last.fm/music/The+Expendables"">Read more on Last.fm</a>"
BOM BALANÇO,335,1534,biografia no encontrada
The Aggrolites,133169,3001062,"The Aggrolites are a reggae band from Los Angeles, California. The Aggrolites are an amalgamation of two previous Los Angeles reggae and ska bands, the Vessels and the Rhythm Doctors, and were originally formed in 2002 as an in-concert backing band for reggae icon Derrick Morgan. The band were asked to record music for a new album for Morgan, and though the actual project was never released, the recording sessions inspired the Aggrolites to become a permanent band. <a href=""https://www.last.fm/music/The+Aggrolites"">Read more on Last.fm</a>"
Symarip,117370,1019158,"Symarip, formerly the Pyramids and Seven Letters, were a ska and reggae band from the United Kingdom, originating towards the end of the 1960s and into the early 1970s. Such hits included ""Skinhead Moonstomp"", ""Skinhead Girl"", and ""Skinhead Jamboree."" Consisting of members of West-Indian descent, Symarip is widely marked as the first skinhead band, being the first band to target skinheads as an audience. Symarip / The Pyramids / Seven Letters released ""best of album"" in 2004 with a new single 'Back from the moon'. <a href=""https://www.last.fm/music/Symarip"">Read more on Last.fm</a>"
The Mighty Mighty Bosstones,736950,13167756,"The Mighty Mighty Bosstones were a ska punk band from Boston, Massachusetts, United States (Bosstones is a play on Boston). Their last lineup was Dicky Barrett (vocals), Joe Gittleman (bass), Lawrence Katz (guitar), Ben Carr (dancer, ""Bosstone""), Joe Sirois (drums), Timothy ""Johnny Vegas"" Burton (saxophone), Kevin Leaner (saxophone) and Chris Rhodes (trombone)

Formed in 1985, The Mighty Mighty Bosstones started playing in Boston clubs in the mid-1980s. <a href=""https://www.last.fm/music/The+Mighty+Mighty+Bosstones"">Read more on Last.fm</a>"
Goldfinger,1156269,23306852,"1) Goldfinger are a ska punk band formed in 1993 and named after the James Bond film. They were founded in California by John Feldmann on vocals and guitar, Simon Williams on bass,  ""Dangerous"" Darrin Pfeiffer on drums, and Charlie Paulson on guitar. 

Before they were signed to a major label, they released an EP titled Richter. Many of the songs on Richter are demo versions of songs on their full length debut, Goldfinger, which was released in 1996. <a href=""https://www.last.fm/music/Goldfinger"">Read more on Last.fm</a>"
Sugar Daddy,20520,81477,"Sugar Daddy (1): Ragga/Soca Singer from Missouri, Texas. (2) British Funk/Rock band from St. Albans, Hertfordshire, England.

1) Ragga/Soca singer on Sony Records.

2)Funk/Rock band from St. Albans, Hertfordshire, England. Formed in 2005, Sugar Daddy released a self-titled E.P. in 2006 and have recently released a mini-album entitled ""This Ain't No Party: This Ain't No Disco"". They are a mixture of genres with influences ranging from Parliament Funkadelic to Steely Dan. <a href=""https://www.last.fm/music/Sugar+Daddy"">Read more on Last.fm</a>"
Skatalà,4470,46090,"SKA / OI! band born in Barcelona in 1985. Create a dirty sound (ska-oi!) linked to the punk and letters that are to be vehicles poignant and ironic. The name is a word crossed: SKA, OI! & CATALAN. By 1987 they recorded demo here, converted into 1991 album by Sock It Records label in Semaphore. Still other records, but the first musical album (Bumblebee, Bumblebee) does not arrive until 1993. After two more musical album (a new one in 1995, and In Concert, 1998), the group disbanded, but in 2005 returned to act together. <a href=""https://www.last.fm/music/+noredirect/Skatal%C3%A0"">Read more on Last.fm</a>"
Lucky Dube,72731,1068623,"Lucky Dube, ⋆ 3 Aug 1964 in Eastern Transvaal, South Africa; ₫ 18 Oct 2007 in Rosettenville, Johannesburg Gauteng (murdered), was South Africa's top reggae artist. He started with local popular music as mbaqanga. He switched to reggae in 1983. He was by then Rastafarian. He played roots reggae, but also love songs like 'I've Got You Babe'. His compilation album Serious Reggae Business 1996 entitled him ""Best Selling African Recording Artist"" at World Music Awards and ""International Artist of the Year"" at the Ghana Music Awards. <a href=""https://www.last.fm/music/Lucky+Dube"">Read more on Last.fm</a>"
Maskavo,132068,1300492,"Maskavo is a brazilian reggae band formed in 2000. The group is a union of other three reggae band: Maskavo Roots, Leões de Judah and Os The Everaldos. BAND MEMBERS: Marceleza - vocals,
Bruno Prieto - bass and vocals, Prata - guitar, Naná - drums <a href=""https://www.last.fm/music/Maskavo"">Read more on Last.fm</a>"
Joyce Bond,6628,21956,biografia no encontrada
Johnny Osbourne,242725,1669510,"Johnny Osbourne (born Errol Osbourne, 1948) is a popular Jamaican reggae and dancehall singer from Kingston, Jamaica, who rose to success in the late 1970s and mid 1980s. His album Truths and Rights was a notable roots reggae success, and featured ""Jah Promise"" and the album's title track, ""Truths and Rights"". However, he is probably best known for his mid 1980s dancehall reggae hits ""Buddy Bye"" (based on King Jammy's Sleng Teng riddim), ""Ice Cream Love"" and ""Water Pumping"". <a href=""https://www.last.fm/music/Johnny+Osbourne"">Read more on Last.fm</a>"
Beres Hammond,169553,1583959,"Beresford Hammond (b.August 28,1955 Annotto Bay,St.Mary, Jamaica) has only really risen to become popular in the 'digital' age of Reggae, although his career stretches back to the 1970's. Considered by many to be one of Jamaica's finest contemporary vocalists, his best work has generally been captured on the 'Penthouse' and 'Xterminator' labels as well as his own 'Harmony House' imprint. The singer with his distictive 'Bourbon on the rocks' vocal style remains active today both recording and producing. <a href=""https://www.last.fm/music/Beres+Hammond"">Read more on Last.fm</a>"
Reel Big Fish,973908,33393105,"Reel Big Fish (""RBF"") is a ska punk band from Huntington Beach, California, United States who broke into the mainstream in the mid to late 1990s, formed in 1992. 

Their debut album, ""Everything Sucks"" (1995), was an underground hit and led to a deal with Mojo Records (see also Mojo), an indie label. ""Turn the Radio Off"" (1996) established the band in the underground music scene, and they began touring throughout the USA. After the single ""Sell Out"" began breaking into the mainstream, including MTV, the album made an appearance on the charts. <a href=""https://www.last.fm/music/Reel+Big+Fish"">Read more on Last.fm</a>"
Ivete Sangalo,458821,15109264,"Ivete Maria Dias de Sangalo (born May 27, 1972 in Juazeiro, Bahia) is a Latin Grammy Award-winning Brazilian singer, songwriter, television show host and occasional actress. She is currently one of the most popular and best-selling Brazilian female singers, with six albums released with Banda Eva, and eight studio albums in her solo career, with a total of over 12 million albums sold worldwide. Sangalo is most often recognized by her powerful voice, charisma and live performances. <a href=""https://www.last.fm/music/Ivete+Sangalo"">Read more on Last.fm</a>"
Misty In Roots,60115,561819,"Roots reggae band formed 1975 in Southall, London, as a backing group to the singer Nicky Thomas. By 1978 Misty In Roots had their own orthodox roots sound with rastafarian lyrics, and started touring as a solo group. They were also a major force in the Rock Against Racism movement. Their first album Live at the Counter Eurovision 79 was recorded live in Belgium. Known songs are 'Ghetto Of The City', 'Mankind', 'Judas Iskariot', 'Follow Fashion', 'Poor And Needy'. 'Dance Hall Babylon', 'Own Them Control Them'.  'Festa'. <a href=""https://www.last.fm/music/Misty+In+Roots"">Read more on Last.fm</a>"
Salida Nula,3209,57676,biografia no encontrada
Salmonella Dub,90803,1552185,"Salmonella Dub began in New Zealand in the summer ending 1992 when Andrew, Dave and Mark applied reggae rhythms and bowel stirring basstones to a handful of bad taste covers. Salmonella Dub's first show was a mixture of covers from Fred Dagg to Nancy and Lee plus some original material in the Westport Racetrack tearooms with EST on January 13th 1993.

Over the course of 1993 the band with the aid of Ice Mac and his soundsystem worked the Dux de Lux and Steel Magnolia bars with percussionists Marcus Puentener and Craig Allen. <a href=""https://www.last.fm/music/Salmonella+Dub"">Read more on Last.fm</a>"
311,1617812,38834155,"311 was formed in 1990 in Omaha, Nebraska, by singer/guitarist Nick Hexum, singer S.A. Martinez, guitarist Tim Mahoney, drummer Chad Sexton and bassist P-Nut. The band now resides in Los Angeles, California.
 
311 mix rock, rap, reggae and funk into their own unique sound. After years of consistent touring, 311 have developed a reputation as one of the hardest working, most influential and most entertaining live bands in the U.S.
 
311 have released ten studio albums <a href=""https://www.last.fm/music/311"">Read more on Last.fm</a>"
Peter Tosh,833534,9883903,"Winston Hubert McIntosh, OM (19 October  1944 – 11 September 1987), professionally known as Peter Tosh, was a Jamaican reggae musician. Along with Bob Marley and Bunny Wailer, he was one of the core members of the band the Wailers (1963–1976), after which he established himself as a successful solo artist and a promoter of Rastafari. He was murdered in 1987 during a home invasion.

Early music and with the Wailers
Tosh was born in Westmoreland, the westernmost parish of Jamaica. <a href=""https://www.last.fm/music/Peter+Tosh"">Read more on Last.fm</a>"
Ska Cubano,76724,742007,"Fronted by the irrepressible Natty Bo, Ska Cubano mix Cuban and Jamaican music with style and verve!! The band were formed in 2001 and are based in London, UK.

www.skacubano.com <a href=""https://www.last.fm/music/Ska+Cubano"">Read more on Last.fm</a>"
10cc,1488699,17295756,"10cc is an English art rock and pop band. Initially comprised of four musicians - Graham Gouldman, Eric Stewart, Kevin Godley and Lol Creme - who had written and recorded together for some three years, before assuming the ""10cc"" name in 1972 - two strong song-writing teams, injected sharp wit to lyrically-dextrous songs. 
Stewart and Gouldman were straight pop-song-writers, who created the band’s most accessible songs; Godley and Creme were the experimental half of 10cc, featuring an Art School sensibility and cinematic writing. <a href=""https://www.last.fm/music/10cc"">Read more on Last.fm</a>"
Sade,3124611,115698922,"Sade (pronounced shah-day) is an English band formed in London in 1982, named after their lead singer, Sade Adu. Their music features elements of soul, quiet storm, smooth jazz and sophisti-pop. All of their albums, including compilations and a live album, have charted in the US Top Ten.

Three of their members were originally from Hull in the East Riding of Yorkshire. Sade was formed in 1982, when members of Latin soul band Pride — Sade Adu, (real name Helen Folasade Adu - born 16 January 1959 in Ibadan <a href=""https://www.last.fm/music/Sade"">Read more on Last.fm</a>"
Quique Neira,27164,213167,"Quique Neira is a Chilean reggae roots singer. <a href=""https://www.last.fm/music/Quique+Neira"">Read more on Last.fm</a>"
Cornell Campbell,171115,1056583,"Cornell, or Cornel, Campbell started recording in 1956, cutting shuffle and early ska tunes like ""My Treasure"" and ""Don't Want Your Loving"" at the ubiquitous Studio One for Coxsone Dodd. His singing style is delicate and ephemeral, making heavy use of falsetto. His stint at Studio One produced some beautiful tunes like Stars, Queen Of The Minstrels, Magic Spell, Trick In The Book and many others. His sister, Cecille Campbell, also sang at Studio One and was a member of the Soulettes with Rita Marley. <a href=""https://www.last.fm/music/Cornell+Campbell"">Read more on Last.fm</a>"
Banda Eva,188893,2987653,"The EVA (or group known as Banda EVA) is a band of Bahian axé music that has had great success during the 1990s, under the voice of Ivete Sangalo.  After Sangalo left for a solo career, lead vocals were taken by Emanuelle Araújo, then Saulo Fernandes, and most recently Felipe Pezzoni. 

Banda EVA emerged from a carnaval troupe.  At the end of the 1970s, a group of friends, members of the Marist College community of Salvador, met every week-end to chat and sing. <a href=""https://www.last.fm/music/Banda+Eva"">Read more on Last.fm</a>"
The Black Seeds,164344,2709287,"The Black Seeds is a band from Wellington, New Zealand, formed in 1998. They blend dub, reggae and funk sounds to an unique funksteady-soulsteady reggae. They perform with 8-10 members for vocals, guitar, sax, trumpet, bass, drums, bongos, keyboard, woodblock... Their debut studio album Keep on Pushing was released 2001 and the latest, Dust and Dirt, 2012. Their 'One By One' became an international hit after played in top ranked TV Series Breaking Bad. <a href=""https://www.last.fm/music/The+Black+Seeds"">Read more on Last.fm</a>"
Sugar Minott,213997,1487182,"Sugar Minott (born Lincoln Barrington Minott, May 25, 1956 in Kingston, died Saturday July 10, 2010 in Kingston) was a Jamaican reggae singer, producer and sound-system operator known for his sweet roots dancehall style.

Sugar Minott spent his youth hanging around the legendary ""Studio 1"" listening to the artists that recorded there, such as Alton Ellis, Ken Boothe, The Heptones, Dennis Brown and others.

Sugar began his career with the formation of the African Brothers <a href=""https://www.last.fm/music/Sugar+Minott"">Read more on Last.fm</a>"
High Tone,133023,2547637,"High Tone was formed in the year 1997 in the city of Lyon, France. The idea and leitmotiv of the musicians were to mix the traditional dub music with their others musical influences such as drum'n'bass, hip-hop or Oriental music. They also mixed up the instruments: using turntables and samples as well as the more traditional guitar, drums and bass-guitar.

After a few self produced vinyl EPs -Bot Bud Seasons (1997) and Low Tone (1998)- High Tone signed at the label Jarring Effects. <a href=""https://www.last.fm/music/High+Tone"">Read more on Last.fm</a>"
Los Fabulosos Cadillacs,524033,11130256,"Los Fabulosos Cadillacs from Buenos Aires, Argentina play ska, rocksteady, reggae, rock, jazz, salsa, folk, rap, big band. Formed 1985, their first album, Bares y Fondas  came 1986. 1998 they got a Grammy for Best Latin Rock/Alternative Album. They also won the MTV Latino Video Music Award in 1994 for the single 'El Matador' – which was on the soundtracks for the movies Savages, Grosse Pointe Blank and The Matador. Singer Gabriel Fernandez Capello (known as Vicentico) and bassist Flavio Cianciarulo are core members and songwriters. <a href=""https://www.last.fm/music/Los+Fabulosos+Cadillacs"">Read more on Last.fm</a>"
Gecko Turner,63406,329291,"Gecko Turner (Fernando Echave) was born and raised in the San Roque district of Badajoz, Spain, a town about halfway between Madrid and Lisbon, Portugal. As a teenager, he fell in love with The Beatles, Bob Dylan, and The Rolling Stones. The Stones led him back to Elmore James, Leadbelly, Muddy Waters, Jimmy Reed and other blues greats. He picked up his guitar in his teens and eventually formed a cover band that played an eclectic mix of American and British pop. <a href=""https://www.last.fm/music/Gecko+Turner"">Read more on Last.fm</a>"
Burning Spear,532551,6143196,"Winston Rodney (born March 1, 1945), also known as Burning Spear, is a Jamaican roots reggae singer and musician. Like many famous Jamaican reggae artists, Burning Spear is known for his Rastafari movement messages.
Rodney was born in Saint Ann's Bay, St. Ann, Jamaica, as were Bob Marley and Marcus Garvey; who both had a great influence on Rodney's life. Garvey in his philosophy, which Burning Spear greatly took to, and Marley in directly helping Burning Spear get started in the music industry. <a href=""https://www.last.fm/music/Burning+Spear"">Read more on Last.fm</a>"
Justin Hinds,37332,174676,"Justin Hinds (May 7, 1942 - March 16, 2005) is best known as a Jamaican ska vocalist, with his backing singers the Dominoes. He is best known for his work with Duke Reid's Treasure Isle Records, where his most notable song, ""Carry Go Bring Come"" recorded in late 1963, went to number one in Jamaica. He recorded seventy singles between 1964 and 1966, and was the most popular artist on the record label.
Hinds died of lung cancer in March, 2005, at the age of 62. <a href=""https://www.last.fm/music/Justin+Hinds"">Read more on Last.fm</a>"
The Wailers,675147,5662337,"There are or have been - at least - two bands named The Wailers: 

- The legendary Jamaican reggae band (founded as a ska group 1963, and became a Rastafarian reggae band in 1968), renamed Bob Marley & The Wailers in 1974, which are still active led by bassist Aston Barrett after Marley's death in 1981.  

- The Fabulous Wailers, a rock and roll and garage band from the USA, active 1958-1969, first led by John Greek, replaced in 1960 by Rockin' Robin Roberts. <a href=""https://www.last.fm/music/The+Wailers"">Read more on Last.fm</a>"
Cultura Profética,149502,3418492,"Cultura Profética is a Puerto Rican reggae roots band. Formed in 1996, they stand out as one of the most influential bands in Latin America, touring extensively throughout the biggest venues on the continent. With nine, independently released albums, the band is composed of 12 musicians that achieve a musical fusion of traditional roots reggae mixed with harmonies of salsa, jazz, electronica, trip hop, ska, and afro-caribbean rhythms, among others. <a href=""https://www.last.fm/music/+noredirect/Cultura+Prof%C3%A9tica"">Read more on Last.fm</a>"
Dandy,50674,219507,"For the Jamaican artist see Dandy Livingstone and correct your ID3/tags.

There are multiple artists with this name:

1) Hip Hop artist from Mykolaiv, Ukraine signed on 8 BIT.

2) House music DJ from São Paulo, Brazil signed on Fire Beats Records.

3) Atlanta, GA-based rapper affiliated with http://www.last.fm/label/Mannyo. Stylized as DANDY, DANDY creates heavy, pounding club rap mixing everything together from southern trap to sailor moon transformations. <a href=""https://www.last.fm/music/Dandy"">Read more on Last.fm</a>"
Nasio,6071,40041,"From the rugged green mountains of Dominica a passionate manifestation of Rastafari comes forward in reggae. His name is Nasio Fontaine and his music has the power to flow into your consciousness and lift your energy. His voice has an unmistakable resonance and his lyrics speak to all Jah children.

Nasio was the youngest of seven children born to a Carib Indian mother and father of African descent, in the village of Carte-Bois, Dominica. The family lived in a one room wooden country house without running water or electricity. <a href=""https://www.last.fm/music/+noredirect/Nasio"">Read more on Last.fm</a>"
Antidoping,13433,221703,"ANTIDOPING es más que una simple prueba para detectar sustancias tóxicas en el organismo es una inyección vital de ruido positivo que nace al mundo musical en el verano de 1992 En medio de una sobredosis urbana de una ciudad tan grande y monstruosa como lo es la ciudad de México; desde entonces, ANTIDOPING continúa con el firme propósito de aprender, fomentar, y difundir una manera inquieta y libre de vivir por medio de la música reggae.

ANTIDOPING combina algunos elementos <a href=""https://www.last.fm/music/Antidoping"">Read more on Last.fm</a>"
Toots & The Maytals,509871,7691871,"Originally called simply The Maytals, are considered legends of ska and reggae music. They are from Kingston, Jamaica. Their sound is a unique, original combination of gospel, ska, soul, reggae and rock. Frederick ""Toots"" Hibbert, the leader of the group, was born in May Pen in the Parish of Clarendon, Jamaica. He was the youngest of seven children. He grew up singing gospel music in a church choir, but moved to Kingston in 1961 at the age of sixteen. <a href=""https://www.last.fm/music/+noredirect/Toots+&+The+Maytals"">Read more on Last.fm</a>"
Norma Fraser,17743,83458,"Norma Fraser, St. Andrew, Jamaica, Western Indies. Fraser’s preliminary documenting was a duet with Lord Inventor documented in 1961. The debut launch from the program, ‘We IS GOING TO BE Lovers’/‘Arrive On Fairly Baby’, topped the Jamaican graph and maintained a substantial profile over summer and winter. In 1963, the music was released in the united kingdom through Island Information where it demonstrated a hit one of the Western Indian community. <a href=""https://www.last.fm/music/Norma+Fraser"">Read more on Last.fm</a>"
The Limp Twins,136178,997503,"The Limp Twins are Will Holland (a.k.a quantic) and Russell Porter, who created their album tales from beyond the groove (TRUCD057, 2003) in their bedrooms (according to the cd cover). The record is a funky offering somewhere in between the sound of Will Holland's other projects, quantic and the quantic soul orchestra, but is definately more laid back. 

For more information on this project, check out quantic's website: about The Limp Twins. <a href=""https://www.last.fm/music/The+Limp+Twins"">Read more on Last.fm</a>"
Braga Boys,88178,266422,biografia no encontrada
Shaggy,2059525,19950434,"Shaggy is the name of, at least, two artists.
1, Shaggy (born October 22, 1969, in Kingston, Jamaica as Orville Richard Burrell), is a Jamaican reggae artist who takes his nickname from his shaggy hair. He is especially notable for his distinctive sub-baritone voice.

His family immigrated to the United States and they settled in the neighborhood of Flatbush, Brooklyn, located in New York City, New York, USA.

In 1988, he joined the United States Marine Corps and served during Operation Desert Storm during the Persian Gulf War. <a href=""https://www.last.fm/music/Shaggy"">Read more on Last.fm</a>"
Dirtsman,12480,47121,"Dancehall/ Reggae/ Ragga 

From: Jamaica

Dirtsman (born: Patrick Thomas),in 1967. Only twenty-seven when he died on December 21st 1993, Dirtsman was on the cusp of attaining international success, having recently signed a recording contract with BMG. 

The son of the owner of the Black Universal Sound System, Dirtsman was the brother of deejay Papa San. Although he launched his career with his father's company, he later switched to the Willowdene-based Creation Rock Tower System.  <a href=""https://www.last.fm/music/Dirtsman"">Read more on Last.fm</a>"
Discípulos de Otilia,1523,30585,biografia no encontrada
Ike Bennett & The Crystalites,10656,31268,biografia no encontrada
Dancing Mood,31388,563679,"Dancing Mood was formed in Buenos Aires, Argentina in march 2000, it was a project from the trumpetist Hugo Lobo, who played with many Argentina's major bands like Todos tus Muertos , Attaque 77 , Los Cafres , Mimi Maura  and took part in other local bands like Satelite Kingston, Riddim, Nuevas Raíces, 2 Minutos, Correcaminos, Azul, Turf, Nonpalidece, Un Kuartito, Viejas Locas, etc. More than twenty in total.
Dancing Mood is a musicians' orchest leaded by seven blow instruments <a href=""https://www.last.fm/music/Dancing+Mood"">Read more on Last.fm</a>"
Kana,59230,868390,"KANA is the name of five artists : 

a) KANA (香奈) is Japanese model and singer who uses a unique mixture of high pitched screaming along with a childish regular singing voice. Web site: http://www.ref.co.jp/kana/

b) The group Kana from Mauritius that has recorded four albums.  The musical style includes reggae, french melodies and cuban influences.

c)  KaNa, a producer and DJ from Yokohama Japan.  From a child KaNa has strongly impressed by Classical music, and started to make music by using the piano. <a href=""https://www.last.fm/music/Kana"">Read more on Last.fm</a>"
Third World,244007,1685736,"Third World is a Jamaican reggae group consisting of William 'Bunny Rugs' Clark (vocals), Steven 'Cat' Coore (guitar, cello, harmonica, vocals), Richard 'Richie' Daley (bass, vocals), Herbert Harris (Keyboard), and Tony Williams (drummer).

They were formed in 1973 and are still releasing records today.  Their lineup has changed over the years, as has their musical style, although it has not strayed too far from the ""roots reggae"" style that they are generally categorized as. <a href=""https://www.last.fm/music/Third+World"">Read more on Last.fm</a>"
Greyhound,41176,258498,"There are at least five artists called Greyhound.  
1) A Reggae band that had hits in the late 60's and early 70's on the Trojan Record Label.  Hits included Black and White, Sky High, I Am What I Am, Dream Lover and more. 
Greyhound was originally formed by Danny Smith and Freddie Notes & The Rudies in the late 1960s and released tracks under a variety of names, including the Rudies, the Tilermen and Des All Stars, before settling on the Greyhound name. <a href=""https://www.last.fm/music/Greyhound"">Read more on Last.fm</a>"
Slim Smith,69119,393746,"Slim Smith was born Keith Smith in Kingston, Jamaica, in 1948. 

His recording career began in a group called The Techniques that recorded for Duke Reid amongst others. When the original Techniques disbanded in 1965 he formed The Uniques.

From 1969 he concentrated on his solo career, recording sides for Coxone Dodd's Studio One, ten of which were compiled for the album Born To Love. He then began a successful working relationship with Bunny Lee, scoring a hit with 'Everybody Needs Love'. <a href=""https://www.last.fm/music/Slim+Smith"">Read more on Last.fm</a>"
Luciano,403068,17127394,"There is more than one artist with this name:

1) Luciano  (real name Patrick Großmann; born January 28, 1994 in Bautzen) is a German rapper from Berlin.

The son of a Mozambican father and a German mother, Luciano grew up mostly in the Schöneberg district of Berlin. He is a member of the rap crew Loco Squad Gang.

In 2020, Luciano was one of the first high-reach German-language rappers to release music in the internationally successful UK Drill style. <a href=""https://www.last.fm/music/Luciano"">Read more on Last.fm</a>"
Monsieur Lezard,574,3258,biografia no encontrada
Hepcat,102423,1388784,"Hepcat are a third wave ska band formed in southern California in 1989.

Their soulful harmonies and mellow rhythms were unlike those of contemporaries and more akin to musicians from the heyday of 1960s Jamaican ska, also referred to as the first wave.

Hepcat's debut album, ""Out of Nowhere"" was released in 1994 on New York-based ska label Moon Records. Two years later, they followed it up with ""Scientific"" on BYO Records. In 1998, after signing with Epitaph Records subsidiary HellCat Records <a href=""https://www.last.fm/music/Hepcat"">Read more on Last.fm</a>"
Junior Byles,161679,935077,"Junior Byles (born Kenneth Byles Jr. in a poor part of Kingston on 2 February 1948; died 15 May 2025) was a Jamaican reggae artist remembered for his song 'Fade Away', with its strong spiritual warnings about materialism and egoism. Recorded in 1975 for producer Joseph Hoo Kim, it was a massive hit in Jamaica and was also a big success in the UK, and was covered five years later by among others Adrian Sherwood's New Age Steppers group and by Salmonella Dub NZ, made a special version of it. <a href=""https://www.last.fm/music/Junior+Byles"">Read more on Last.fm</a>"
Sizzla,486079,6180199,"Sizzla Kalonji (real name Miguel Orlando Collins) is a Jamaican reggae musician. He was born on 17 April 1976, in St Mary, Jamaica, of devout Rastafari parents and raised in August Town. He is unusually prolific, even by Jamaican standards.  Sizzla has worked with such artists as Mobb Deep.

Sizzla, along with reggae recording artists such as Capleton, Buju Banton, and Anthony B, are credited with leading a movement toward a re-embracement of Rastafarian <a href=""https://www.last.fm/music/Sizzla"">Read more on Last.fm</a>"
